Index       V(2)            I(VLOAD)     
159      7.95000000e-01    9.15864158e-01
160      8.00000000e-01    8.38706688e-01
161      8.05000000e-01    7.61040245e-01
162      8.10000000e-01    6.82883946e-01
163      8.15000000e-01    6.04255988e-01
164      8.20000000e-01    5.25173697e-01
165      8.25000000e-01    4.45653576e-01
166      8.30000000e-01    3.65711350e-01
167      8.35000000e-01    2.85362002e-01
168      8.40000000e-01    2.04619819e-01
169      8.45000000e-01    1.23498427e-01
170      8.50000000e-01    4.20108073e-02
171      8.55000000e-01   -3.98305967e-02
172      8.60000000e-01   -1.22013957e-01
173      8.65000000e-01   -2.04527943e-01
174      8.70000000e-01   -2.87361771e-01
175      8.75000000e-01   -3.70505089e-01
176      8.80000000e-01   -4.53948010e-01
177      8.85000000e-01   -5.37681077e-01
178      8.90000000e-01   -6.21695236e-01
179      8.95000000e-01   -7.05981818e-01
180      9.00000000e-01   -7.90532520e-01
End of Xyce(TM) Simulation
